End of Period,Loan Number,Region,Country Code,Country,Borrower,Guarantor Country Code,Guarantor,Loan Type,Loan Status,Interest Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Due to IBRD,Exchange Adjustment,Borrower's Obligation,Sold 3rd Party,Repaid 3rd Party,Due 3rd Party,Loans Held,First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date
06/30/2020,IBRD24460,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,3.8,,P006342,HIGHWAY VII REHAB &,210000000.00,5380290.53,0.00,204619709.50,204619709.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12/15/1987,06/15/1999,07/30/1984,06/21/1984,11/30/1984,12/31/1989,07/16/1990
06/30/2020,IBRD24470,LATIN AMERICA AND CARIBBEAN,BR,Brazil,SECRETARIA DE ECONOMIA,BR,Brazil,CPL,Fully Repaid,5.21,,P006339,SAO PAULO HEALTH,55500000.00,111639.56,0.00,55388360.44,55388360.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/01/1987,05/01/1999,12/10/1984,06/21/1984,06/11/1985,06/30/1992,11/24/1992
06/30/2020,IBRD24480,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.03,,P006339,SAO PAULO HEALTH,2000000.00,278762.91,0.00,1721237.09,1721237.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/01/1987,04/01/1999,02/06/1985,06/21/1984,01/29/1986,12/31/1989,05/22/1990
06/30/2020,IBRD24880,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.21,,P006347,DEVT BANKING,300000000.00,1311551.17,0.00,298688448.80,298688448.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,07/15/1988,01/15/2000,03/08/1985,01/29/1985,11/14/1985,12/31/1990,07/19/1991
06/30/2020,IBRD24890,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.11,,P006348,SCIENCE & TECH ED,72000000.00,0.00,0.00,72000000.00,72000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1988,04/15/2000,02/06/1985,01/29/1985,07/09/1985,12/31/1991,04/03/1992
06/30/2020,IBRD25230,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.11,,P006345,NRDP SERGIPE,61300000.00,1000000.00,0.00,60300000.00,60300000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/01/1988,05/01/2000,06/13/1985,04/30/1985,12/12/1985,12/31/1995,05/31/1996
06/30/2020,IBRD25240,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.11,,P006380,NRDP RIO GRA. DO NOR,61400000.00,10204294.48,0.00,51195705.52,51195705.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/01/1988,05/01/2000,06/13/1985,04/30/1985,05/07/1986,12/31/1995,07/10/1996
06/30/2020,IBRD25320,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.01,,P006359,RURAL WS & S PILOT,16300000.00,5218455.16,0.00,11081544.84,11081544.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/01/1989,08/01/2000,08/01/1985,05/07/1985,08/14/1986,09/30/1990,02/27/1991
06/30/2020,IBRD25630,LATIN AMERICA AND CARIBBEAN,BR,Brazil,REDE FERROVIARIA FEDERAL S.A.,BR,Brazil,CPL,Fully Repaid,7,,P006358,FED RAILWAY EXP CORR,200000000.00,5576937.01,0.00,194423063.00,194423063.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1988,04/15/2000,07/22/1985,05/30/1985,10/22/1985,12/31/1994,05/04/1995
06/30/2020,IBRD25640,LATIN AMERICA AND CARIBBEAN,BR,Brazil,ELETROBRAS,BR,Brazil,CPL,Fully Repaid,5.02,,P006349,POWER TRANSM,400000000.00,154546295.50,0.00,245453704.50,245453704.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/01/1989,09/01/2000,08/28/1985,06/04/1985,01/29/1986,12/31/1992,05/06/1993
06/30/2020,IBRD25650,LATIN AMERICA AND CARIBBEAN,BR,Brazil,ELETROBRAS,BR,Brazil,CPL,Fully Repaid,5.02,,P006357,POWER DIST,312000000.00,2369598.98,0.00,309630401.00,309630401.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/01/1989,09/01/2000,08/28/1985,06/04/1985,01/29/1986,12/31/1992,05/10/1993
06/30/2020,IBRD25930,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.11,,P006346,LAND RES/TITLING,100000000.00,43385428.94,0.00,56614571.06,56614571.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/15/1989,07/15/2000,10/15/1985,06/25/1985,03/25/1986,02/29/1992,07/09/1992
06/30/2020,IBRD26230,LATIN AMERICA AND CARIBBEAN,BR,Brazil,SECRETARIA DA FAZENDA ESTADO SANTA CATAR,BR,Brazil,CPL,Fully Repaid,5.02,,P006398,STA CATARINA TOWNS,24500000.00,293950.07,0.00,24206049.93,24206049.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/01/1989,09/01/2000,06/26/1986,09/19/1985,09/24/1986,12/31/1993,05/10/1994
06/30/2020,IBRD26450,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.03,,P006417,NE URBN RECON (FL'D),100000000.00,1381291.04,0.00,98618708.96,98618708.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/01/1989,03/01/2001,04/24/1986,12/19/1985,09/05/1986,12/31/1988,07/25/1990
06/30/2020,IBRD26790,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.03,,P006372,AGR EXTENSION II,155000000.00,62051491.41,0.00,92948508.59,92948508.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/01/1990,07/01/2001,06/30/1986,04/22/1986,10/08/1986,12/31/1995,05/13/1996
06/30/2020,IBRD26800,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,3.8,,P006421,IRRIG ENGINEERING,48000000.00,4706517.28,0.00,43293482.72,43293482.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/01/1990,07/01/2001,06/30/1986,04/22/1986,10/30/1986,06/30/1993,12/01/1993
06/30/2020,IBRD26810,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.01,,P006367,SALVADOR METRO DEVT,55000000.00,18636903.49,0.00,36363096.51,36363096.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/01/1989,04/01/2001,07/15/1986,04/22/1986,05/18/1987,06/30/1997,08/25/1997
06/30/2020,IBRD26990,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.03,,P006365,NE BASIC HLTH SRV I,59500000.00,261272.75,0.00,59238727.25,59238727.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,02/15/1990,08/15/2001,10/23/1986,05/22/1986,07/29/1987,12/31/1995,01/24/1997
06/30/2020,IBRD27180,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.01,,P006432,NRDP PERNAMBUCO,92000000.00,20000000.00,0.00,72000000.00,72000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/01/1989,04/01/2001,07/15/1986,06/12/1986,11/14/1986,06/30/1996,10/01/1997
06/30/2020,IBRD27190,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,3.8,,P006362,UP&MDLE SAO FRNCO IR,57000000.00,1079278.33,0.00,55920721.67,55920721.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/01/1990,07/01/2001,06/30/1986,06/12/1986,01/30/1987,12/31/1994,05/11/1995
06/30/2020,IBRD27200,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.59,,P006418,ELEC POWER SEC I,333360000.00,0.00,0.00,333360000.00,333360000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1990,09/15/2001,07/15/1986,06/19/1986,09/23/1986,06/30/1987,12/23/1986
06/30/2020,IBRD2720S,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,SCPD,Fully Repaid,5.31,,P006418,ELEC POWER SEC I,166640000.00,0.00,0.00,166640000.00,166640000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1998,09/15/2001,07/15/1986,06/19/1986,09/23/1986,06/30/1987,
06/30/2020,IBRD27210,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.03,,P006394,PUB SECTOR MGMT,29000000.00,5004610.55,0.00,23995389.45,23995389.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/01/1990,09/01/2001,07/15/1986,06/19/1986,12/16/1986,12/31/1993,03/08/1994
06/30/2020,IBRD27270,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.18,,P006344,CREDIT & MKTG REFORM,341860978.30,18193878.31,0.00,323667100.00,323667100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/01/1990,09/01/2001,07/15/1986,06/26/1986,09/08/1986,06/30/1993,11/29/1993
06/30/2020,IBRD2727S,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,SCPD,Fully Repaid,8.59,,P006344,CREDIT & MKTG REFORM,158139021.70,0.00,0.00,158139021.70,158139021.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/01/1998,09/01/2001,07/15/1986,06/26/1986,09/08/1986,06/30/1993,
06/30/2020,IBRD27610,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,3.8,,P006351,NRDP BAHIA,171000000.00,63766835.61,0.00,107233164.40,107233164.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,06/01/1990,12/01/2001,07/20/1987,10/21/1986,10/19/1987,12/31/1995,06/10/1996
06/30/2020,IBRD27620,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.85,,P006369,NRDP PIAUI,78000000.00,25039236.97,0.00,52960763.03,52960763.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,06/01/1990,12/01/2001,07/20/1987,10/21/1986,11/20/1987,06/30/1996,01/22/1997
06/30/2020,IBRD27630,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.85,,P006420,NRDP CEARA,122000000.00,37142002.27,0.00,84857997.73,84857997.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,06/01/1990,12/01/2001,07/20/1987,10/21/1986,10/19/1987,12/31/1995,05/21/1996
06/30/2020,IBRD28100,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.02,,P006431,SKILLS FORMATION,74500000.00,59008795.66,0.00,15491204.34,15491204.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/01/1990,04/01/2002,07/27/1987,05/12/1987,12/15/1987,12/31/1997,06/25/1998
06/30/2020,IBRD28220,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.02,,P006366,URBN TRNSPRT IV,200000000.00,187660247.90,0.00,12339752.14,12339752.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/15/1990,05/15/2002,07/27/1987,05/26/1987,01/28/1988,12/31/1992,03/18/1991
06/30/2020,IBRD28300,LATIN AMERICA AND CARIBBEAN,BR,Brazil,São Paulo Secretaria do Estado,BR,Brazil,CPL,Fully Repaid,5.02,,P006410,SAO PAULO HWY MGMT,174000000.00,43222962.34,0.00,130777037.70,130777037.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/15/1990,03/15/2002,12/11/1987,06/09/1987,06/16/1988,12/31/1995,02/27/1996
06/30/2020,IBRD28310,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.62,,P006440,2ND SP IND POLLUTN,50000000.00,6515040.02,0.00,43484959.98,43484959.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/01/1991,09/01/2002,07/27/1987,06/09/1987,07/11/1988,06/30/1996,11/13/1996
06/30/2020,IBRD28570,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA PAULISTA DE TRENS METROPOLITAN,BR,Brazil,CPL,Fully Repaid,5.32,,P006416,FEPASA RAILWYS,100000000.00,16067.83,0.00,99983932.17,99983932.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1991,03/15/2001,07/27/1987,06/25/1987,12/01/1987,12/31/1995,05/31/1996
06/30/2020,IBRD28600,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.62,,P006445,NRDP PARAIBA,60000000.00,592939.26,0.00,59407060.74,59407060.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1991,09/15/2002,07/20/1987,06/30/1987,10/15/1987,12/31/1996,06/18/1997
06/30/2020,IBRD28610,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.62,,P006426,NRDP MINAS GERAIS,55000000.00,4676187.68,0.00,50323812.32,50323812.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1991,09/15/2002,07/20/1987,06/30/1987,10/20/1987,12/31/1996,06/18/1997
06/30/2020,IBRD28620,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.62,,P006433,NRDP MARANHAO,84000000.00,3827962.96,0.00,80172037.04,80172037.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1991,09/15/2002,07/20/1987,06/30/1987,12/18/1987,12/31/1996,05/13/1997
06/30/2020,IBRD28630,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.18,,P006425,NRDP ALAGOAS,42000000.00,19776864.23,0.00,22223135.77,22223135.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1991,09/15/2002,07/20/1987,06/30/1987,10/19/1987,09/30/1996,09/26/1997
06/30/2020,IBRD28640,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,5.02,,P006392,LVSTK DISEASE CNTL,51000000.00,10185678.46,0.00,40814321.54,40814321.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1990,04/15/2002,07/27/1987,06/30/1987,10/27/1987,03/31/1997,05/09/1997
06/30/2020,IBRD28830,LATIN AMERICA AND CARIBBEAN,BR,Brazil,ELETROBRAS,BR,Brazil,CPL,Fully Repaid,3.8,,P006442,ITAPARICA,132000000.00,0.00,0.00,132000000.00,132000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,07/15/1991,01/15/2003,12/07/1987,11/17/1987,12/08/1987,12/31/1994,09/09/1992
06/30/2020,IBRD28831,LATIN AMERICA AND CARIBBEAN,BR,Brazil,ELETROBRAS,BR,Brazil,CPL,Fully Repaid,3.8,,P006442,ITAPARICA,100000000.00,0.00,0.00,100000000.00,100000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,07/15/1993,01/15/2003,11/01/1991,02/20/1990,01/24/1992,12/31/1997,04/07/1998
06/30/2020,IBRD28950,LATIN AMERICA AND CARIBBEAN,BR,Brazil,State of Minas Gerais,BR,Brazil,CPL,Fully Repaid,5.16,,P006422,MINAS GER'S FRSTRY,48500000.00,11815912.13,0.00,36684087.87,36684087.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/01/1991,03/01/2003,09/30/1988,12/17/1987,06/19/1989,12/31/1996,05/02/1997
06/30/2020,IBRD29310,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.85,,P006438,NE ENDEMIC DIS. CTL,109000000.00,27146789.43,0.00,81853210.57,81853210.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1991,04/15/2003,06/17/1988,03/31/1988,12/14/1988,06/30/1996,03/07/1997
06/30/2020,IBRD29410,LATIN AMERICA AND CARIBBEAN,BR,Brazil,PORTOBRAS,BR,Brazil,CPL,Fully Repaid,4.85,,P006376,PORTS T.A. II,20000000.00,16246053.68,0.00,3753946.32,3753946.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/15/1993,05/15/2003,06/17/1988,05/24/1988,10/04/1988,06/30/1994,07/01/1991
06/30/2020,IBRD29500,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.85,,P006360,IRR SUB-SECTOR,195000000.00,26378990.04,0.00,168621010.00,168621010.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/15/1993,05/15/2003,09/21/1988,06/09/1988,05/31/1989,12/31/1997,03/24/1998
06/30/2020,IBRD29600,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.03,,P006464,AGRO-IND IV,155037358.50,58395758.53,0.00,96641600.00,96641600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1994,09/15/2003,05/31/1989,06/16/1988,08/22/1989,12/31/1992,05/26/1993
06/30/2020,IBRD2960S,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,SCPD,Fully Repaid,6.61,,P006464,AGRO-IND IV,144962641.50,0.00,0.00,144962641.50,144962641.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1998,09/15/2003,05/31/1989,06/16/1988,08/22/1989,12/31/1992,
06/30/2020,IBRD29710,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.03,,P006361,AGR CREDIT,141524754.70,32287554.68,0.00,109237200.00,109237200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1994,09/15/2003,05/31/1989,06/23/1988,08/22/1989,12/31/1993,02/07/1994
06/30/2020,IBRD2971S,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,SCPD,Fully Repaid,6.61,,P006361,AGR CREDIT,158475245.30,0.00,0.00,158475245.30,158475245.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1998,09/15/2003,05/31/1989,06/23/1988,08/22/1989,12/31/1993,
06/30/2020,IBRD29750,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CEFED,BR,Brazil,CPL,Fully Repaid,4.85,,P006491,RIO EMERG FL'D RECON,175000000.00,7702596.26,0.00,167297403.70,167297403.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1993,04/15/2003,09/29/1988,06/24/1988,12/29/1988,09/30/1995,12/28/1995
06/30/2020,IBRD29830,LATIN AMERICA AND CARIBBEAN,BR,Brazil,CEFED,BR,Brazil,CPL,Fully Repaid,4.85,,P006437,W&S/PROSANEAR,80000000.00,69141.13,0.00,79930858.87,79930858.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1993,04/15/2003,12/30/1988,06/29/1988,02/23/1989,12/30/1996,03/12/1997
06/30/2020,IBRD30130,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,3.8,,P006370,NE IRRI JAIBA,71000000.00,0.00,0.00,71000000.00,71000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,04/15/1994,10/15/2003,05/31/1989,12/22/1988,08/26/1989,06/30/2000,08/31/2000
06/30/2020,IBRD30180,LATIN AMERICA AND CARIBBEAN,BR,Brazil,SECRETARIA DE ESTADO DA AGRICULTURA E,BR,Brazil,CPL,Fully Repaid,2.7,,P006448,LND MGMT I-PARANA,63000000.00,5731.96,0.00,62994268.04,62994268.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1994,04/15/2004,02/15/1989,01/31/1989,06/06/1989,03/31/1997,04/10/1997
06/30/2020,IBRD30430,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMGAS SAO PAULO,BR,Brazil,CPL,Fully Repaid,3.8,,P006414,NTRL GAS DIST,94000000.00,0.00,0.00,94000000.00,94000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1994,04/15/2004,02/16/1990,04/25/1989,06/12/1990,08/31/1999,01/12/2000
06/30/2020,IBRD30720,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.11,,P006439,AMAZON BASIN MALARIA,99000000.00,26100000.00,0.00,72900000.00,72900000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/15/1994,03/15/2004,06/02/1989,05/25/1989,09/20/1989,06/30/1996,02/04/1997
06/30/2020,IBRD31000,LATIN AMERICA AND CARIBBEAN,BR,Brazil,GOVERNO DO ESTADO DO PARANA,BR,Brazil,CPL,Fully Repaid,4.11,,P006435,MUNIC DEVT (PARANA),100000000.00,757.67,0.00,99999242.33,99999242.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/01/1994,04/01/2004,08/14/1989,06/22/1989,01/19/1990,12/31/1995,05/13/1996
06/30/2020,IBRD31020,LATIN AMERICA AND CARIBBEAN,BR,Brazil,COMPANHIA DE SANEAMENTO BASICO - SAO PAU,BR,Brazil,CPL,Fully Repaid,4.11,,P006407,WATER SCTR SAO PAULO,280000000.00,0.00,0.00,280000000.00,280000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,09/15/1994,03/15/2004,02/16/1990,06/28/1989,07/06/1990,06/30/1997,07/08/1997
06/30/2020,IBRD31290,LATIN AMERICA AND CARIBBEAN,BR,Brazil,State of Rio Grande Do Sul,BR,Brazil,CPL,Fully Repaid,4.59,,P006501,MUNICIP DEV (RG SUL),100000000.00,20000076.80,0.00,79999923.20,79999923.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,04/01/1995,10/01/2004,01/22/1990,10/24/1989,06/25/1990,12/31/1995,01/18/1996
06/30/2020,IBRD31300,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.59,,P006467,AG RESEARCH III,47000000.00,5000000.00,0.00,42000000.00,42000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,03/15/1995,09/15/2004,01/10/1990,10/24/1989,04/27/1990,06/30/1996,05/05/1997
06/30/2020,IBRD31350,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.59,,P006403,NE BASIC HLTH SRV II,267000000.00,50419251.18,0.00,216580748.80,216580748.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,05/15/1995,11/15/2004,09/26/1990,11/30/1989,12/26/1990,12/30/1997,08/04/1998
06/30/2020,IBRD31600,LATIN AMERICA AND CARIBBEAN,BR,Brazil,SDA,BR,Brazil,CPL,Fully Repaid,5.59,,P006473,BR LND MGMT II-S. CATAR,9900000.00,0.00,0.00,9900000.00,9900000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1995,04/15/2005,07/22/1991,01/30/1990,10/18/1991,06/30/1999,06/17/1998
06/30/2020,IBRD3160S,LATIN AMERICA AND CARIBBEAN,BR,Brazil,SDA,BR,Brazil,SCPD,Fully Repaid,5.46,,P006473,BR LND MGMT II-S. CATAR,23100000.00,23334.70,0.00,23076665.30,23076665.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1998,04/15/2005,07/22/1991,01/30/1990,10/18/1991,06/30/1999,09/13/2000
06/30/2020,IBRD31690,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,6.03,,P006444,HWY MGMT AND REHAB,93999600.00,40000000.00,0.00,53999600.00,53999600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,04/15/1996,10/15/2005,04/30/1991,02/13/1990,07/30/1991,12/31/1996,05/15/1997
06/30/2020,IBRD3169S,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,SCPD,Fully Repaid,4.81,,P006444,HWY MGMT AND REHAB,216000400.00,0.00,0.00,216000400.00,216000400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,04/15/1998,10/15/2005,04/30/1991,02/13/1990,07/30/1991,12/31/1996,
06/30/2020,IBRD31700,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.59,,P006453,NE IRRIG I,210000000.00,74234618.09,0.00,135765381.90,135765381.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1995,04/15/2005,04/19/1991,02/20/1990,09/20/1991,12/31/2000,09/19/2001
06/30/2020,IBRD31730,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,CPL,Fully Repaid,4.59,,P006446,BR NAT ENVIRONMT,117000000.00,5178524.30,0.00,111821475.70,111821475.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1995,04/15/2005,08/16/1990,02/27/1990,12/05/1990,12/31/1998,07/27/1999
06/30/2020,IBRD32270,LATIN AMERICA AND CARIBBEAN,BR,Brazil,ELETROBRAS,BR,Brazil,CPL,Fully Cancelled,0,,P006404,ELEC TRNS&CONSRVTN,385000000.00,385000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10/15/1995,04/15/2005,,06/14/1990,06/14/1990,06/30/1995,
06/30/2020,IBRD32680,LATIN AMERICA AND CARIBBEAN,BR,Brazil,BANCO NACIONAL,BR,Brazil,CPL,Fully Repaid,6.18,,P006511,PRIVATE SCTR FIN,143557988.80,115950488.80,0.00,27607500.00,27607500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,05/15/1996,11/15/2005,01/14/1991,11/29/1990,03/14/1991,12/31/1993,03/03/1994
06/30/2020,IBRD3268S,LATIN AMERICA AND CARIBBEAN,BR,Brazil,BANCO NACIONAL,BR,Brazil,SCPD,Fully Repaid,4.81,,P006511,PRIVATE SCTR FIN,156442011.20,0.00,0.00,156442011.20,156442011.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11/15/1997,11/15/2005,01/14/1991,11/29/1990,03/14/1991,12/31/1993,
